sentences	audioFilename
फाटलें सुमार सप्तकभर घसघशांनी कोसळिल्ल्या पावसान आयतारा सावन आसोर केला आसलो तरी ह्या काळांत देश भरांत ताच्या अच्छेवांत जाल्लें जिवीत आनी मालमत्तेचें लुकसाण खूबच मोटें आसा. मुखेलपणान कर्नाटक, आंध्र, महाराष्ट्र आनी गोंय ह्या चार राज्यांक पावसाच्या धुमशेणाची चड झळ बसल्या. वयल्या राज्यांनी आतां मेरेन अनुक्रमान 132, 16, 19 आनी 2 लोकांक मरण आयलां आनी कोट्यानी रुपयांचे मालमत्तेचें लुकसाण जालां. आयज मेरेन देशांतल्या हेर खंयच्याय राज्या प्रमाण कसलेय मोटे सैमीक आपत्तीचो धग बसूंक नाशिल्ल्यान आमी सुरक्षीत समजतल्या गोंयाकूय ह्या पावसान सोडलेंना. गोंयांतल्या उत्तरेंतल्या अस्नोडें, नानोडें, मुळगांव, शिरगांव कांसरपाल ह्या वाठारांनी पावसान धुमशेणां कांडटनाच दक्षिणेंतल्या काणकोणांत तर ताणें केल्लो सांवार अपूर्व असोच आसा. पावसाक लागून आयिल्ल्या हुंवारांत उत्तरेंतल्या सुमार 20 घरांची मोडतोड जाल्या आनी 300 वयर घरांचें भितर उदक रिगिल्ल्यान लुकसाण जालां. काणकोणांतल्या येडा, लोलयें, तामणामळ, भाटपाल, पैंगीण ह्या वाठारांनी तर प्रलयाचेंच रूप आयिल्ल्यान 300 वयर घरां मातये भरवण जाल्यांत. वांगडाच 500 वयर घरांचेंय लुकसाण जावन लोकाचे संवसारूच उबंत पडल्यात. थंयची एकंदर परिस्थितीच भिरांकूळ अशी आसा.   	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0020_T1-0020.wav
गोंय सगळ्या मळांचेर चकचकचें!	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0339_T1-0339.wav
भुरगीं इगर्ज मातेचीं	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0257_T1-0257.wav
धर्ममार्तंडांनी कर्मकांडां फाटली भुमिका सांगपाक जाय	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0452_T1-0452.wav
दिल्लीचेर आकांतवादी हल्ल्याचें सांवट - अमेरिका, ब्रिटन आनी ऑस्ट्रेलियेची शिटकावणी	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0338_T1-0338.wav
सुसेगाद गोंयकार सगल्याच मळार मुखार : रामदेव बाबा	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0340_T1-0340.wav
धर्मकारण जाणा जावन घेवया	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0453_T1-0453.wav
कितले इडियट्स?	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0239_T1-0239.wav
मोपाचो मोरया.कांय वर्सां पयलीं सरकारान मोपा विमानतळाची घोशणा केली. तेन्ना दाबोळी सरभोंवतणाच्या आनी हेर कडल्या हॉटेलकारांनी, टॅक्सीचालकांनी ताचे आड आवाज काडपाक सुरवात केली. थळावे आमदार ओग्गी आशिल्ले, पूण चर्चिलान सदचे संवये प्रमाण आपूण दक्षिण गोंयाचो तारणहार जाल्ले भाशेन मोपाच्या नांवान बोटांमोडपाक सुरवात केली. मोपाचेय समर्थक, थळावे आमदार जागे जाले आनी ह्या विशयाक वादाचें स्वरूप मेळ्ळें. गोंय सरकारान दाबोळेचो विस्तार करपाची घोशणा केली. त्या कामाची बुन्याद घाली. मात मोपा- दाबोळी वाद अजूनय धुंवरेता. वादमोगी गोंयकार त्या इंगळ्याचेर फूक मारीत आसात. ह्या वादा वयली खवळी आतां परत निखळपाची शक्यताय आसा. कारण चिपी विमानतळाच्या जाग्यार आयतारा भुमीपुजन जालें. महाराष्ट्राचे उद्देग मंत्री नारायण राणे ह्या वेळार हजर आशिल्ले. सिंधुदुर्ग हो तांचो आनी तांच्या आमदार, खासदारांचो मतदारसंघ. ताका लागून हांगाचे उदरगती खातीर तांणी पेंगट बांदलां. 	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0004_T1-0004.wav
पायतियागिस्ताचे यादस्तीक. शेंकड्यांनी वर्सां पयलीं ग्रीसाक नाट्यकला सुरू जाली. उपरांत युरोपांतल्यान ती संवसारभर पातळ्ळी. आमच्या गोंयांत कितल्याश्याच वर्सां सावन जात्रा, काल्यांच्या निमतान नाटकां जायत आसात. महाराष्ट्रा परस गोंयांतले हौशी रंगमाचयेर चड मराठी नाटकां जातात हे विशीं दुबाव ना. पूण ह्या नाटकांक महाराश्ट्रा भाशेन वेवसायीक रूप मेळूंक ना. कोंकणी नाटकां मात ल्हवू ल्हवू वेवसायीक रूप घेतात. पुराय भारतांत दिसचो ना असो आगळो वेगळो नाट्य प्रकार आमच्या गोंयांत पळोवपाक मेळटा. तो म्हणल्यार कोंकणी तियात्र. कोंकणी कांतारांनी नटिल्ल्या ह्या तियात्राक मात वेवसायीक रूप मेळ्ळां. म्हापशें, मडगांवां सारक्या शारांनी तियात्रांचे तिकेटी लावन प्रयोग जातात आनी ताका आमचीं क्रिस्तांव भावभायणां गर्दी करतात. तियात्र हो तांच्या सांस्कृतीक जिविताचो एक वांटो जाला, तियात्र हो तांचे जिणेचो स्वास जाला अशें म्हणल्यार अतिताय थारची ना. 	./KonkaniRawSpeechCorpus/Data/Contemporary Text-T1/Male/16To20/LDC-IL_Scheduled_Konkani_Male_16To20_Contemporary Text-T1_SP-0012_T1-0012.wav
